Name,Distance,Latitude_Range,Longitude_Range
Poulet ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Tiong Bahru Bakery ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
NamNam ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
A,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Brotzeit ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
MilkFish ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
McDonald's ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Lee Wee & Brothers ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Xing Ji Big Prawn Noodle ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
KOI Thé Express ,2.4,1.3147216216216215 to 1.2714783783783783,103.93214373216652 to 103.77485626783347
Awfully Chocolate ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
XW Western Grill ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Simply Wrapps ,2.3,1.3138207207207206 to 1.2723792792792792,103.92886690999292 to 103.77813309000707
Rive Gauche ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Sushi Tei ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Old Chang Kee ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
PS.Cafe ,2.5,1.3156225225225224 to 1.2705774774774774,103.93542055434013 to 103.77157944565987
XW Western Grill ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Sushi Tei ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Wine Connection ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Osaka Ohsho ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Cedele ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Yu Ba Fang ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Royce' ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Hong Kong Sheng Kee Dessert ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Osaka Ohsho ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
The Providore ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Mr. Coconut ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
The Soup Spoon ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Green Signature ,1.9,1.310217117117117 to 1.2759828828828828,103.91575962129849 to 103.7912403787015
Subway ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
MOS Burger ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
The Soup Spoon ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Boost Juice Bars ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Tokyo Sundubu ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Breadtalk ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
O'Coffee Club ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Soi Thai Soi Nice ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
The Coffee Academics ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Tokyo Milk Cheese Factory ,1.5,1.3066135135135135 to 1.2795864864864863,103.90265233260408 to 103.80434766739592
The Coffee Academics ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Eureka Popcorn ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Da Paolo Gastronomia ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Hang Heung ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
The Coffee Bean & Tea Leaf ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Tenjin ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Bee Cheng Hiang ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Men House Yamamoto,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
So Pho ,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
Teuscher Chocolates (estd. 1932) ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Gong Yuan Ma La Tang ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Flippin' Good Burgers ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Ichiban Boshi ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Ichiban Boshi ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Haakon Superfoods & Juice ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Tiong Bahru Bakery ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Authentic Hock Lam Beef Noodles ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
Pho Street ,1.6,1.3075144144144144 to 1.2786855855855854,103.90592915477768 to 103.80107084522231
Tiong Bahru Bakery ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Authentic Hock Lam Beef Noodles ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
Pho Street ,1.6,1.3075144144144144 to 1.2786855855855854,103.90592915477768 to 103.80107084522231
Pho Stop ,2.6,1.3165234234234233 to 1.2696765765765765,103.93869737651373 to 103.76830262348626
The Kind Bowl ,2.6,1.3165234234234233 to 1.2696765765765765,103.93869737651373 to 103.76830262348626
Vietnamese Delights Pho 99 ,2.1,1.3120189189189189 to 1.274181081081081,103.9223132656457 to 103.7846867343543
Swensen's ,8.0,1.365172072072072 to 1.221027927927928,104.1156457738884 to 103.59135422611159
Sakunthala's Restaurant ,5.4,1.3417486486486485 to 1.2444513513513513,104.03044839737467 to 103.67655160262532
Stuff'd ,0.5,1.2976045045045044 to 1.2885954954954955,103.86988411086803 to 103.83711588913197
New Shah Alam Restaurant ,0.5,1.2976045045045044 to 1.2885954954954955,103.86988411086803 to 103.83711588913197
Dunkin' Donuts ,4.3,1.3318387387387387 to 1.2543612612612611,103.99440335346502 to 103.71259664653498
Co Chung ,2.6,1.3165234234234233 to 1.2696765765765765,103.93869737651373 to 103.76830262348626
Saigon Rolls ,1.7,1.3084153153153153 to 1.2777846846846845,103.90920597695128 to 103.79779402304871
Mrs Pho Kitchen ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Mixed Greens ,1.5,1.3066135135135135 to 1.2795864864864863,103.90265233260408 to 103.80434766739592
Co Hai Banh Mi ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Marutama Ramen ,1.8,1.3093162162162162 to 1.2768837837837836,103.91248279912489 to 103.7945172008751
Moc Cottage ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Mrs Pho Bussorah ,2.5,1.3156225225225224 to 1.2705774774774774,103.93542055434013 to 103.77157944565987
Penang Culture ,5.7,1.3444513513513512 to 1.2417486486486486,104.0402788638955 to 103.6667211361045
Thien Long Vietnam Restaurant ,2.6,1.3165234234234233 to 1.2696765765765765,103.93869737651373 to 103.76830262348626
Fun Tea ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Star Cinnamon ,1.6,1.3075144144144144 to 1.2786855855855854,103.90592915477768 to 103.80107084522231
Milligram ,2.8,1.318325225225225 to 1.2678747747747747,103.94525102086094 to 103.76174897913906
Toast Box ,3.5,1.3246315315315313 to 1.2615684684684685,103.96818877607618 to 103.73881122392382
Sai Gon Quan,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
Fun Toast ,1.7,1.3084153153153153 to 1.2777846846846845,103.90920597695128 to 103.79779402304871
Homely Vietnam Pho ,5.6,1.3435504504504503 to 1.2426495495495495,104.03700204172189 to 103.6699979582781
Kam's Roast Express ,3.8,1.3273342342342342 to 1.2588657657657656,103.97801924259699 to 103.72898075740301
Zamas River Valley Restaurant ,3.0,1.320127027027027 to 1.266072972972973,103.95180466520816 to 103.75519533479184
Killiney,4.7,1.3354423423423423 to 1.2507576576576576,104.00751064215945 to 103.69948935784055
Isle Eating House ,2.2,1.3129198198198198 to 1.27328018018018,103.92559008781932 to 103.78140991218068
Kamala ,3.0,1.320127027027027 to 1.266072972972973,103.95180466520816 to 103.75519533479184
May's Kafe ,2.2,1.3129198198198198 to 1.27328018018018,103.92559008781932 to 103.78140991218068
Nam Dae Mun ,2.8,1.318325225225225 to 1.2678747747747747,103.94525102086094 to 103.76174897913906
Coffee Hive ,2.2,1.3129198198198198 to 1.27328018018018,103.92559008781932 to 103.78140991218068
Lutong Pinoy ,3.5,1.3246315315315313 to 1.2615684684684685,103.96818877607618 to 103.73881122392382
Bao Mi Up By Pho Stop ,6.4,1.3507576576576577 to 1.2354423423423422,104.06321661911072 to 103.64378338088927
Miam Miam ,1.8,1.3093162162162162 to 1.2768837837837836,103.91248279912489 to 103.7945172008751
Super Dream ,2.3,1.3138207207207206 to 1.2723792792792792,103.92886690999292 to 103.77813309000707
Cafe Pandan ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
Desiree Cafe And Bar ,1.7,1.3084153153153153 to 1.2777846846846845,103.90920597695128 to 103.79779402304871
Ramen Nagi ,4.0,1.329136036036036 to 1.2570639639639638,103.9845728869442 to 103.72242711305579
Baguette Huong Viet ,2.9,1.319226126126126 to 1.2669738738738738,103.94852784303454 to 103.75847215696545
ChaTraMue ,6.9,1.355262162162162 to 1.2309378378378377,104.07960072997875 to 103.62739927002124
Old School Delights ,2.2,1.3129198198198198 to 1.27328018018018,103.92559008781932 to 103.78140991218068
Fuqing Marina Bay Seafood Restaurant ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Shang Pin ,2.3,1.3138207207207206 to 1.2723792792792792,103.92886690999292 to 103.77813309000707
Napolizz Pizza ,2.9,1.319226126126126 to 1.2669738738738738,103.94852784303454 to 103.75847215696545
88 Shan Ren Cold & Hot Dessert ,4.3,1.3318387387387387 to 1.2543612612612611,103.99440335346502 to 103.71259664653498
Teck Neo Peranakan Restaurant ,5.6,1.3435504504504503 to 1.2426495495495495,104.03700204172189 to 103.6699979582781
Mama Don ,12.9,1.409316216216216 to 1.1768837837837838,104.27621006039506 to 103.43078993960494
Drama Mama ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Konjiki Hototogisu ,4.9,1.337244144144144 to 1.2489558558558558,104.01406428650665 to 103.69293571349334
Vivi Vietnamese Cuisine ,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
The Malayan Council ,4.2,1.3309378378378378 to 1.255262162162162,103.99112653129141 to 103.71587346870858
Tribe Restaurant ,0.1,1.2940009009009008 to 1.292199099099099,103.8567768221736 to 103.8502231778264
Din Tai Fung ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
LiHO TEA ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Treasures Yi Dian Xin ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Putien ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Koji Sushi Bar ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Café&Meal MUJI ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Shahi Maharani ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Tarte by Cheryl Koh ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Sufood ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Beverly Hills Cheesecake ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Anjappar Restaurant ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Food Junction ,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
Wooshi ,3.5,1.3246315315315313 to 1.2615684684684685,103.96818877607618 to 103.73881122392382
Mangiamo ,2.4,1.3147216216216215 to 1.2714783783783783,103.93214373216652 to 103.77485626783347
